code|name
AC101|Chemistry
ME101|Basic Mechanical Engineering
ME103|Workshop Practice
MA101|Mathematics - I
AP101|Physics – I
EE101|Basic Electrical Engineering
CO101|Programming Fundamentals
ME105|Engineering Graphics
EE102|Basic Electrical Engineering
CO102|Programming Fundamentals
ME102|Engineering Graphics
MA102|Mathematics-II
AP102|Physics – II
AC102|Chemistry
ME104|Basic Mechanical Engineering
ME106|Workshop Practice
PE251|Engineering Materials and Metallurgy
CH201|Chemical Engineering Process Calculations
CH203|Transport Phenomena
CH205|Chemical Engineering Thermodynamics
CH207|Engineering Design and Analysis
EE272|Instrumentation and Process Control
CH202|Fluid Mechanics
CH204|Chemical Reaction Engineering -1
CH206|Mechanical Operations
CH208|Heat Transfer
CH301|Polymeric Materials
CH303|Mass Transfer-1
MG301|Fundamentals of Management
CH302|Chemical Reaction Engineering-II
CH304|Mass Transfer-II
CH306|Chemical Process Technology
HU302|Engineering Economics
CH401|B. Tech Project-I
CH403|Training Seminar
CH402|B.Tech Project-II
CH305|Characterization of Materials
CH307|Petroleum Refining Engineering
CH309|Chemical Process and Simulations
CH311|Rheology
CH313|Corrosion Engineering
CH315|Plastic Technology
CH317|Resin Technology
CH319|Rubber Technology
CH321|Numerical Methods in Chemical Engineering
CH323|Biomaterials
CH308|Food Technology
CH312|Polymer Processing Techniques
CH314|Fertilizer Technology
CH316|Coatings and Adhesives
CH318|Petrochemical Engineering
CH320|Packaging Technology
CH322|Tyre Technology
CH324|Heat Exchangers
CH405|Fiber Technology
CH407|Polymer Blends and Composites
CH409|Plant Engineering and Process Economics
CH411|Advance Mass Transfer Operations
CH413|Bio-Chemical Engineering
CH415|Rocket Propulsion and Explosives
CH417|Polymer Waste Management
CH419|Computational Fluid Dynamics
CH421|Polymer Reaction Engineering
CH423|Optimization Techniques
CH425|Application of Polymers in Biomedical
CH427|Combustion Engineering
CH429|Energy Resources
CH431|Membrane Technology
CH404|Fuel Cell Technology
CH406|Catalysis
CH408|Specialty Polymers
CH412|Thermoplastic Elastomers
CH414|Non-woven Technology
CH416|Industrial Waste Management
CH418|Application of Nanotechnology in Polymers
CH420|Inorganic Polymers
CH422|Pharmaceutical Technology
CH424|Safety & Hazards in Chemical Industries
CH426|Biofuel Engineering
CH428|Energy Conservation and Recycling
CS251|Data Structure
MC201|Discrete Mathematics
MC203|Mathematics-III
